model;model_detailed;begin;end;gasoline;diesel;hybrid
BRONCO;FORD Bronco;2020;-1;1;0;0
ECOSPORT;FORD EcoSport;2017;-1;1;1;0
EDGE;FORD Edge;2018;-1;1;1;0
EDGE ST;FORD Edge ST;2018;-1;1;0;0
ESCAPE;FORD Escape;2019;-1;1;1;1
EXPEDITION;FORD Expedition;2017;-1;1;0;0
EXPLORER;FORD Explorer;2019;-1;1;0;1
F-150;FORD F-150 Raptor;2021;-1;1;0;0
F-150;FORD F-150 Regular Cab;2012;-1;1;0;0
F-150;FORD F-150 Super Cab;2012;-1;1;0;0
F-150;FORD F-150 Super Crew;2020;-1;1;1;1
FIESTA;FORD Fiesta 3 Doors;2017;-1;1;1;0
FIESTA;FORD Fiesta 5 Doors;2017;-1;1;1;0
FIESTA;FORD Fiesta ST;2018;-1;1;0;0
FIGO;FORD Figo;2018;-1;1;1;0
FOCUS;FORD Focus 5 Doors;2018;-1;1;1;1
FOCUS;FORD Focus RS;2016;-1;1;0;0
FOCUS;FORD Focus ST 5 doors;2019;-1;1;1;0
FOCUS;FORD Focus ST Wagon;2012;-1;1;0;0
FOCUS;FORD Focus Wagon;2018;-1;1;1;1
FUSION;FORD Fusion North American;2018;-1;1;0;1
GALAXY;FORD Galaxy;2019;-1;1;1;0
GT;FORD GT;2019;-1;1;0;0
KA+;FORD Ka+;2018;-1;1;1;0
KA+ Active;FORD Ka+ Active;2018;-1;1;1;0
KUGA;FORD Kuga;2019;-1;1;1;0
MONDEO Wagon;FORD Mondeo Wagon;2019;-1;1;1;1
MUSTANG;FORD Mustang;2019;-1;1;0;0
MUSTANG;FORD Mustang Convertible;2017;-1;1;0;0
MUSTANG;FORD Mustang MACH-E;2020;-1;0;0;0
MUSTANG;FORD Mustang Mach 1;2020;-1;1;0;0
PUMA;FORD Puma;1997;2003;1;1;0
PUMA;FORD Puma;2019;-1;1;1;0
PUMA ST;FORD Puma ST;2020;-1;1;0;0
RANGER;FORD Ranger Double Cab;2019;-1;1;1;0
RANGER;FORD Ranger Regular Cab;2015;-1;1;1;0
RANGER;FORD Ranger Super Cab;2015;-1;1;1;0
RAPTOR;FORD Raptor Ranger;2018;-1;1;1;0
S-Max;FORD S-Max;2019;-1;1;1;0
TERRITORY;FORD Territory;2018;-1;1;0;0
TOURNEO;FORD Tourneo;2018;-1;1;1;0
TRANSIT Connect Wagon;FORD Transit Connect Wagon;2018;-1;1;0;0
TRANSIT Custom;FORD Transit Custom;2019;-1;0;1;0
ANGLIA 100E;FORD Anglia 100E;1953;1959;1;0;0
ANGLIA 105E;FORD Anglia 105E;1959;1967;1;0;0
B-MAX;FORD B-Max;2012;2018;1;1;0
C-MAX;FORD C-Max;2014;2019;1;1;1
CAPRI;FORD Capri;1978;1986;1;0;0
CONSUL;FORD Consul;1950;1956;1;0;0
CONTOUR;FORD Contour/Mondeo;1997;2000;1;1;0
MONDEO;FORD Contour/Mondeo;1997;2000;1;1;0
CORSAIR;FORD Corsair;1964;1970;1;0;0
CORTINA;FORD Cortina;1976;1979;1;0;0
COUGAR;FORD Cougar;1998;2001;1;0;0
CRESTLINE;FORD Crestline;1952;1954;1;0;0
CRESTLINER;FORD Crestliner;1949;1951;1;0;0
CROWN Victoria;FORD Crown Victoria;1998;2007;1;0;0
DELUXE;FORD Deluxe;1932;1938;1;0;0
ECONOVAN;FORD Econovan;1999;2005;1;1;0
ESCORT;FORD Escort 3 Doors;1995;2000;1;1;0
